#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
92,Aanen Moody,MONT,34,"1,129.00",568,212,434,0.488,81,211,0.384,63,72,0.875,11,99,110,77,30,3,55,73
93,Kobe Sanders,POLY,29,974,568,178,388,0.459,38,112,0.339,174,199,0.874,25,83,108,92,24,10,85,81
94,Bryce Harris,HWRD,34,"1,072.00",564,199,360,0.553,27,69,0.391,139,189,0.735,99,159,258,57,36,37,58,83
95,"Kino Lilly, Jr.",BRWN,30,"1,141.00",564,197,499,0.395,90,264,0.341,80,98,0.816,9,64,73,107,24,5,81,41
96,Trey Alexander,CREI,32,"1,179.00",563,216,474,0.456,55,168,0.327,76,94,0.809,15,167,182,153,36,15,75,54
97,Sy Chatman,BUFF,31,"1,011.00",563,204,449,0.454,37,144,0.257,118,170,0.694,40,159,199,41,34,49,85,79
98,Jordan Pope,ORST,32,"1,139.00",562,201,446,0.451,66,178,0.371,94,107,0.879,20,62,82,109,21,3,72,42
99,Quinten Post,BOS,33,"1,051.00",561,207,404,0.512,48,110,0.436,99,121,0.818,67,204,271,95,30,58,85,95
100,Isaiah Stevens,COLST,34,"1,179.00",561,203,420,0.483,63,141,0.447,92,110,0.836,16,89,105,237,42,6,78,47
101,Robbie Avila,INDST,32,974,559,197,359,0.549,51,126,0.405,114,139,0.82,38,174,212,122,22,23,58,86
102,Basheer Jihad,BLLST,30,977,559,176,390,0.451,40,113,0.354,167,223,0.749,59,180,239,55,33,34,102,94
103,Tyler Robertson,UP,33,"1,174.00",559,201,445,0.452,67,180,0.372,90,111,0.811,30,117,147,126,26,5,77,65
104,Malik Dia,BLMNT,33,762,559,210,430,0.488,44,129,0.341,95,149,0.638,47,146,193,39,27,26,89,78
105,Hunter Dickinson,KU,31,"1,000.00",557,235,427,0.55,21,60,0.35,66,103,0.641,82,254,336,67,29,43,57,69
106,Colby Rogers,WICHI,34,"1,189.00",556,190,475,0.4,99,242,0.409,77,93,0.828,18,99,117,64,35,10,54,62
107,Kam Jones,MARQ,33,954,554,210,422,0.498,83,202,0.411,51,70,0.729,14,82,96,83,40,1,43,66
108,J.P. Pegues,FRMN,30,"1,024.00",553,172,410,0.42,83,229,0.362,126,144,0.875,20,109,129,144,34,6,62,52
109,Johni Broome,AUB,34,839,552,211,388,0.544,27,77,0.351,103,171,0.602,80,206,286,73,28,77,52,81
110,Quan Brown,MVSU,30,"1,063.00",549,197,448,0.44,41,127,0.323,114,160,0.713,69,112,181,35,33,19,64,52
111,Trenton McLaughlin,NAU,33,"1,151.00",549,184,462,0.398,74,225,0.329,107,139,0.77,13,91,104,63,48,7,69,62
112,Ryan Kalkbrenner,CREI,32,"1,087.00",548,219,337,0.65,14,51,0.275,96,135,0.711,81,156,237,42,11,97,46,59
113,Max Abmas,TEXAS,32,"1,122.00",548,186,431,0.432,89,242,0.368,87,95,0.916,12,83,95,137,31,2,72,71
114,Kyle Filipowski,DUKE,32,972,547,205,400,0.513,36,103,0.35,101,152,0.664,69,193,262,89,36,50,67,95
115,Jy'Are Davis,DEL,32,"1,064.00",547,200,429,0.466,20,78,0.256,127,156,0.814,52,188,240,78,24,24,58,69
116,Jamarii Thomas,NORF,32,"1,002.00",547,151,372,0.406,52,133,0.391,193,237,0.814,23,99,122,120,66,3,78,80
117,Tyler Stephenson-Moore,SB,33,"1,152.00",547,177,397,0.446,87,200,0.435,106,125,0.848,38,88,126,38,37,22,37,68
118,Branden Carlson,U of U,32,934,546,205,418,0.49,58,157,0.369,78,110,0.709,50,166,216,51,12,47,49,59
119,Eric Dixon,VILL,33,"1,004.00",545,186,401,0.464,55,157,0.35,118,135,0.874,69,140,209,57,25,15,59,62
120,Jordan Derkack,MERRI,32,"1,056.00",545,172,369,0.466,33,120,0.275,168,232,0.724,37,155,192,125,67,7,127,76
121,Marcus Domask,ILL,34,"1,173.00",545,193,423,0.456,36,125,0.288,123,140,0.879,38,129,167,127,10,13,79,45
122,Deyton Albury,QUC,32,907,544,187,388,0.482,20,55,0.364,150,200,0.75,26,161,187,117,38,12,104,84
123,Keenon Cole,LIND,30,"1,036.00",544,172,428,0.402,33,126,0.262,167,205,0.815,42,144,186,22,19,14,69,73
124,Tyren Moore,GASO,32,897,543,187,400,0.468,73,180,0.406,96,111,0.865,11,79,90,98,36,3,62,50
125,Jayden Stone,UDM,26,933,542,188,445,0.422,62,199,0.312,104,131,0.794,23,122,145,69,40,7,66,45
126,Robert Ford III,MTSTU,34,"1,151.00",541,176,367,0.48,78,183,0.426,111,141,0.787,34,226,260,102,100,7,81,98
127,Noah Reynolds,UWGB,27,902,540,202,395,0.511,34,100,0.34,102,129,0.791,16,83,99,121,21,14,73,62
128,Sam Griffin,UWYOM,32,"1,101.00",540,179,415,0.431,76,194,0.392,106,127,0.835,8,111,119,110,21,0,78,30
129,Kalen Williams,TAMUC,33,"1,043.00",540,193,435,0.444,47,151,0.311,107,141,0.759,34,81,115,95,35,2,67,52
130,Jayden Epps,GTOWN,29,"1,009.00",537,177,452,0.392,64,210,0.305,119,156,0.763,8,66,74,123,34,11,98,49
131,Desmond Claude,XAV,33,"1,106.00",536,193,461,0.419,22,107,0.206,128,161,0.795,32,105,137,105,34,10,70,71
132,Martez Robinson,DESU,33,"1,142.00",535,178,424,0.42,30,93,0.323,149,175,0.851,46,170,216,74,67,2,85,95
133,B.J. Omot,UND,32,"1,125.00",535,192,461,0.416,53,188,0.282,98,140,0.7,42,93,135,46,24,29,43,50
134,Marcus Tsohonis,LBSU,30,873,535,185,457,0.405,39,128,0.305,126,164,0.768,29,67,96,87,39,5,57,53
135,Amar'e Marshall,ALBNY,32,"1,028.00",534,192,442,0.434,48,129,0.372,102,134,0.761,38,122,160,68,59,19,90,84
136,Travis Evee,RICE,32,"1,079.00",534,184,439,0.419,74,216,0.343,92,111,0.829,13,96,109,67,33,9,58,59
137,Ryan Conwell,INDST,33,"1,107.00",533,173,361,0.479,91,226,0.403,96,111,0.865,25,164,189,76,36,8,60,92
138,Jalen Jackson,IPFW,33,996,533,182,359,0.507,40,95,0.421,129,181,0.713,16,133,149,85,54,13,64,80
139,Dae Dae Grant,DUQ,33,"1,050.00",533,157,404,0.389,80,238,0.336,139,148,0.939,27,81,108,79,31,4,42,64
140,Duke Miles,HP,30,928,532,195,363,0.537,42,112,0.375,100,125,0.8,4,67,71,107,41,5,59,81
141,Marcus Tankersley,UDM,32,"1,151.00",532,197,422,0.467,19,68,0.279,119,148,0.804,24,96,120,70,27,2,67,48
142,Ebby Asamoah,ETSU,34,"1,040.00",532,175,434,0.403,102,281,0.363,80,103,0.777,20,113,133,26,25,22,56,82
143,Jeremiah Hernandez,USI,31,970,532,153,367,0.417,26,82,0.317,200,247,0.81,22,79,101,57,45,7,81,64
144,Josh Oduro,PROV,33,986,530,197,369,0.534,16,52,0.308,120,147,0.816,74,172,246,64,27,43,70,106
145,Jimmy Clark III,DUQ,35,"1,087.00",530,184,442,0.416,65,194,0.335,97,136,0.713,21,99,120,134,83,10,98,83
146,Dakota Leffew,MSMU,30,"1,065.00",529,195,454,0.43,74,203,0.365,65,85,0.765,15,113,128,118,45,18,86,53
147,Sean East II,MZZOU,30,"1,025.00",529,187,359,0.521,36,80,0.45,119,139,0.856,23,82,105,121,33,5,91,76
148,Isaiah Swope,INDST,32,"1,091.00",529,184,420,0.438,105,280,0.375,56,76,0.737,7,86,93,70,43,1,60,64
149,Norchad Omier,UMFL,31,947.9,528,198,359,0.552,24,68,0.353,108,144,0.75,105,204,309,38,47,24,72,91
150,Tyson Degenhart,BOISE,31,"1,027.00",528,175,344,0.509,30,93,0.323,148,187,0.791,67,126,193,47,34,8,31,59
151,Mikael Brown-Jones,UNCG,28,796,528,174,322,0.54,25,58,0.431,155,197,0.787,59,151,210,30,17,24,48,73
152,D.J. Brewton,CSFUL,31,"1,024.00",528,203,448,0.453,32,97,0.33,90,132,0.682,29,121,150,75,45,7,66,55
153,Cameron Tyson,SEA,30,964,528,173,426,0.406,97,255,0.38,85,98,0.867,16,114,130,43,21,1,55,67
154,Graham Ike,ZAGS,32,771,527,211,349,0.605,5,15,0.333,100,129,0.775,74,155,229,32,21,23,51,90
155,Jack Forrest,BUCK,33,"1,190.00",527,180,441,0.408,86,232,0.371,81,101,0.802,23,150,173,50,35,9,57,71
156,Alston Mason,MZZST,30,"1,057.00",526,180,426,0.423,72,204,0.353,94,120,0.783,11,79,90,107,25,3,71,63
157,Kezza Giffa,HP,33,967,526,126,312,0.404,44,131,0.336,230,261,0.881,10,80,90,97,20,3,85,72
158,Austin Benigni,USNA,31,"1,037.00",526,165,426,0.387,19,77,0.247,177,209,0.847,15,75,90,119,22,3,73,83
159,Caleb Fields,FAIR,32,"1,117.00",525,176,410,0.429,100,256,0.391,73,98,0.745,33,94,127,81,48,3,37,45
160,Jermaine Couisnard,OREG,34,"1,096.00",525,172,443,0.388,62,190,0.326,119,160,0.744,37,115,152,111,55,5,58,76
161,Ansley Almonor,FDU,32,"1,023.00",525,178,408,0.436,93,236,0.394,76,95,0.8,28,134,162,54,15,22,50,72
162,Kevin Cross,TULAN,30,"1,081.00",524,177,345,0.513,22,52,0.423,148,181,0.818,28,191,219,138,38,28,89,70
163,Emanuel Miller,TCU,33,"1,072.00",524,184,378,0.487,29,76,0.382,127,155,0.819,70,126,196,88,35,14,48,52
164,"Wesley Cardet, Jr.",CHIST,29,993,524,175,401,0.436,41,115,0.357,133,187,0.711,41,89,130,74,26,16,88,47
165,Dionte Bostick,CSUN,34,"1,148.00",524,196,440,0.445,49,143,0.343,83,120,0.692,31,104,135,59,49,7,72,92
166,Jalen Sullinger,KENT,34,"1,167.00",524,183,432,0.424,83,212,0.392,75,88,0.852,21,67,88,83,34,5,72,73
167,Pop Isaacs Jr.,TXTCH,33,"1,081.00",524,165,465,0.355,72,239,0.301,122,146,0.836,9,98,107,116,34,3,83,55
168,Isaiah Crawford,LATCH,32,"1,052.00",523,182,375,0.485,41,99,0.414,118,162,0.728,60,138,198,76,68,55,81,75
169,Tanner Holden,WRST,32,"1,062.00",522,194,351,0.553,14,35,0.4,120,172,0.698,54,151,205,115,59,12,79,85
170,Terrell Burden,KENN,31,967,522,175,396,0.442,35,113,0.31,137,213,0.643,23,87,110,195,44,11,88,66
171,Gibson Jimerson,STLOU,33,"1,181.00",522,161,404,0.399,79,220,0.359,121,140,0.864,29,66,95,69,22,7,58,34
172,Payton Sandfort,IOWA,32,974,521,170,379,0.449,87,232,0.375,94,103,0.913,36,172,208,88,24,13,41,78
173,L.J. Cryer,U of H,34,"1,092.00",521,180,447,0.403,105,269,0.39,56,64,0.875,21,58,79,63,36,3,29,56
174,Jalen Leach,FAIR,32,"1,049.00",519,181,371,0.488,46,130,0.354,111,124,0.895,35,97,132,95,59,3,53,50
175,Matthew Murrell,MISS,32,"1,054.00",519,178,384,0.464,78,196,0.398,85,115,0.739,18,98,116,76,50,8,54,64
